,question,relevant_documents_from_dense_retrieval
26,אילו מגמות לימוד מציעה המחלקה להנדסה אזרחית וסביבתית לתואר ראשון?,"[Document(id='bf36faac-cf9d-4d3a-95a1-9dbc9360ece4', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='כנית לימודים לתואר שני בהנדסה סביבתית\nהמחלקה להנדסה אזרחית וסביבתית מציעה תוכנית לתואר שני בהנדסה סביבתית המיועדת לבוגרי.ות תואר\nראשון בהנדסה במגוון תחומים )כגון הנדסת בניין, הנדסה כימית, הנדסת ביוטכנולוגיה, הנדסת מכונות,\nהנדסת חומרים ועוד(, �'), Document(id='18379726-53d6-4496-88a3-a65bfe22eec7', metadata={'source': '364-2025.pdf', 'start_index': 5558}, page_content='ישות גבוהות ושילוב תכנים חדשניים המשקפים את התפתחותו המהירה של המקצוע .\n2\n תכניות הלימוד במחלקה\nמידע מפורט נוסף על תכניות הלימודים השונות במחלקה מוצג בהמשך מסמך זה .\nלימודי התואר הראשון\nתוכנית הלימודים הארבע -שנתית לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיוע')]"
27,מדוע נדרש ידע באירועי קיצון ומיגון עבור מהנדסי מבנים?,"[Document(id='0498097d-1f1a-47d2-a7c2-cd7c3289f231', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='יים\nכולל בעיות קריסה. תכן מבנים לרעידות אדמה והגנה על מבנים בפני פיצוצים, דבר הדורש ידע והבנה של\nההתנהגות הדינמית של מבנים. יכולת האנליזה של מהנדס.ת המבנים דורשת נוסף לידע בשיטות אנליזה\nקלאסית ידע בשיטות אנליזה מודרנית תוך שימוש באלמנטים סופיים ובמחשב. ממה�'), Document(id='e8180371-8789-4a1d-b40d-b284c6ac83c1', metadata={'source': '374-2025.pdf', 'start_index': 7591}, page_content='אירועים חריגים דוגמת אסונות טבע כרעידות אדמה\nוכנגד פגיעות טרור או מלחמה, המחלקה מציעה ארבעה קורסים: ""אירועים חריגים 1: דינמיקה שימושית ותכן\nסיסמי""; ""אירועים חריגים 2: מבוא למיגון מבנים""; ""אירועים חריגים 3: מבוא לניהול אירועים חריגים"" המתמקד\nבניהול סיכונים במבנים ובניהול אז'), Document(id='9d9f35df-1ff6-40b6-a605-29dded414369', metadata={'source': '374-2025.pdf', 'start_index': 3739}, page_content='נים, התשתיות והקרקע עוסקיםב:תכן מבנים לרעידות אדמה, פגיעות\nומיגון פסיבי ואקטיבי בזמן אמת של מבנים ומתקנים כנגד השפעות ירי ופיצוץ, עמידות מבנים לאחר שריפה,\n2\n דינמיקת מבנים ובקרת מבנים, מכניקת מבנים ומכניקת קרקע חישוביות, פעולת גומלין מבנה-קרקע-נוזל, שיט'), Document(id='6f092779-f0da-4cb8-aee9-127b0b650908', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�רנית תוך שימוש באלמנטים סופיים ובמחשב. ממהנדס.ת המבנים נדרשת\nיכולת המאפשרת לו.ה לבצע סינתזה של כל הידע שרכש.ה כדי לתכנן בפועל מבנים שונים .\nתחום ניהול הבנייה מבוסס על אינטראקציה של מערכות שירות שונות, הדורשת ידע בסיסי בהנדסת מבנים\nוידע בניהול הבנייה. ה�'), Document(id='df9c8b28-8958-457f-95f3-d43b3696d965', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='ת השפעת פעילותם.ן על קידום הציוויליזציה.\nתוכנית הלימודים עוסקת במגוון תחומים הכוללים הנדסת מבנים ותשתיות, גיאומכניקה, חומרי בנייה, ניהול\nהבנייה, היערכות לאירועי קיצון, הנדסת מערכות מים, בנייה מכוונת אקלים, ובקרת זיהום אוויר. בפני בוגרי\nהתואר הראשון יעמדו �'), Document(id='ecc7100e-dca0-4383-8905-b777a5fbb999', metadata={'source': '374-2025.pdf', 'start_index': 28748}, page_content='דיעותיהם בתחומי ניהול הבנייה ומוכנות לאירועים חריגים. תחומי המחקר במחלקה כוללים\nניתוח וניהול סיכונים בהתחשב בעמידות ושרידות בבניינים ותשתיות; ניהול אסונות; תחזוקה מתכללת\nמבוססת תפקוד ועוד .\nקריטריוני הקבלה:\n1. המועמדים.ות יהיו בעלי.ות תואר ראשון B.Sc בהנדסה אז'), Document(id='f94d6c21-810e-4d67-b0d5-6f0fb025f36f', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�ון מבנים, המזכה באישור על\nלימוד אשכול לימודים. סטודנטים.ות אשר לומדים.ות במגמה להנדסת מבנים ולומדים.ות במסגרת זו אשכול\nשל ארבעה מקצועות מהרשימה הבאה יקבלו אישור נלווה לתעודת הבוגר כי סי ימו בהצלחה אשכול קורסים\nבתחום מיגון מבנים :\nאירועים חריגים 2: מבוא למיגון מב')]"
28,כיצד המחלקה משלבת נושאי סביבה ובנייה בתכנית הלימודים?,[]
29,מהו היקף אפשרויות התעסוקה לבוגרי הנדסה אזרחית וסביבתית?,"[Document(id='216f4264-1c6f-4866-9579-3ba94d67667e', metadata={'source': '364-2025.pdf', 'start_index': -1}, page_content='� הנדסיים המאפשרים השתלבות בתפקידים בכירים בארגונים\nשונים. בוגרי התוכניות לתואר שני משתלבים במספר רב של תפק ידים בינהם: מדעני נתונים, מנהלי מוצרים טכנולוגיים\nמתקדמים, מנהלי צוותים ומחלקות, ולימודי המשך אקדמיים.\nפרק זה מציג תחילה רקע כללי הנוגע ללימודי �'), Document(id='dc1a17b5-c9f2-4125-b8aa-84f2f1ded55d', metadata={'source': '378-2025.pdf', 'start_index': 1787}, page_content='עוד .לאור דרישה גוברת למהנדסים ומנהלים בתחומי אנרגיה גיאותרמית,\nסולרית ,הידרואלקטרית, ואנרגית רוח, יוכלו בוגרי התוכנית להשתלב בחברות יעוץ ותכנון בתחומים חדשניים אלו.\nתנאי הרשמה\nהלימודים בתוכנית להנדסת אנרגיה פתוחים בפני מסיימי תואר ראשון בהנדסה (B.Sc) ממוסד'), Document(id='65d5445e-9312-478b-9ce0-1903f8480d94', metadata={'source': '374-2025.pdf', 'start_index': 25765}, page_content='ל המסלול מיועדים.ות להשתלב\nבאקדמיה, בארגונים ממשלתיים וציבוריים ובתעשיית הבנייה והתשתיות בתפקידים בכירים\nבתחומי התכן, הניהול והביצוע .\n2. מסלול ללא תזה – מסלול זה מיועד להרחבת הידע ההנדסי והניהולי ולהעמקתו של הסטודנט.ית\nבנושא המיקוד של התוכנית בה בחר.ה המועמד'), Document(id='1edf2272-0330-4b0b-a051-b6782f85fcf0', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ת זהות\nבית הספר להנדסת חשמל ומחשבים הוא מסגרת ייחודית בנוף ההנדסה במדינת ישראל. בית הספר מאגד\nבמסגרתו מספר תכניות לימודים לתואר ראשון, כמו גם מספר תכניות לימודים לתארים מתקדמים )שני ושלישי(,\nהמספקים לסטודנטים רוחב יריעה, מגוון אפשרויות, והכרות נרחבת �'), Document(id='3728237d-ba5f-4a3e-8c8f-f43bc34a9df7', metadata={'source': '374-2025.pdf', 'start_index': 10946}, page_content='ר לתואר שני בהנדסה סביבתית\nתוכנית לימודים לתואר כפול: הנדסת בניין )התמחות במבנים( ומדעי כדור הארץ והסביבה\nתוכנית זו הינה ייחודית הנלמדת באוניברסיטת בן-גוריון בלבד. התוכנית נוסדה לשם מתן מענה אקדמי לצורכי\nהמדינה בתחום התשתיות הלאומיות, לקראת אתגרי העתיד.')]"
30,מהי מטרת התכנית להנדסת תכנה באוניברסיטת בן גוריון?,"[Document(id='2cce989e-78c7-487b-a98d-0eacf9f44c66', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='היה לתלמיד מנחה מהמחלקה להנדסת מערכות תוכנה ומידע, ומנחה נוסף מהפקולטה למדעי\nהרפואה.\nלמי מתאימה התכנית?\nלימודי המגמה מיועדים בעיקר לבוגרי תואר ראשון בהנדסת מערכות מידע, הנדסת תוכנה, מדעי המחשב או\nתכניות דומות, או לבוגרי תואר ראשון לפחות ברפואה, במ�')]"
31,אילו תחומי ידע נכללים בתכנית להנדסת תוכנה?,"[Document(id='132534c3-c27a-4bb4-8a88-f26ba3fda7d1', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='אר ראשון – הנדסת בניין\nתוכנית הלימודים של לימודי הסמכה של מהנדס.ת הבניין באוניברסיטת בן-גוריון בנגב בנויה ממקצועות מדעיים\nבסיסיים במתמטיקה, פיזיקה, כימיה ומחשוב, הניתנים על ידי הפקולטה למדעי הטבע, ושאחריהם נלמדים\nמקצועות האנליזה והתכן. המקצועות בה�')]"
32,כיצד מחולקים לימודי הנדסת תוכנה בהתאם לתכנית הצבירה?,"[Document(id='9e856112-e74b-45d1-9522-a8d9998166d9', metadata={'source': '365-2025.pdf', 'start_index': -1}, page_content='ודות יצברו בלימודי קורסי מוסמכים, כאשר מתוכן 3 נקודות יינתנו\nעל בסיס קורס עבודה סמינריונית .\n(לידיעה, לא ניתן להתקבל ללימודי דוקטורט, ללא תזה. יש לבדוק מול בית ספר קרייטמן את\nהאפשרות לבצע השלמת תזה).\n• מסלול לימודי צבירה – מסלול זה נועד לתלמידים המעוניינים ללמוד מ�')]"
33,מדוע כוללת התכנית דגש על קורסי מתמטיקה וסטטיסטיקה?,[]
34,כיצד התוכנית משלבת פרויקט שנתי לתואר ראשון?,"[Document(id='54d8c072-47da-4826-a504-528149421e36', metadata={'source': '364-2025.pdf', 'start_index': -1}, page_content='�באלו תנאים. תלמיד נטול מנחה בעת\nהייעוץ של הסמסטר השני ללימודיו כתלמיד ""מן המניין"", יוכל להמשיך את לימודיו במסלול ללא עבודת גמר )תזה(\nבכפוף לאישור ועדת ההוראה המחלקתית .\nמסלול ללא עבודת גמר מחקרית: מסלולז ה מאפשר לתלמיד לקבל תואר שני ללא מעורבות בהליך מחקרי רחב היק�')]"
35,מה ההיקף הנדרש של נקודות זכות להשלמת התואר הראשון בהנדסת תוכנה?,"[Document(id='adef9407-7298-476d-84f9-220e04eaf1ca', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�וון בתעשייה או\nבצבא. התנאים שתוארו לעיל הם תנאי סף להרשמה במקרה השכיח; וועדת הקבלה של התואר רשאית לדרוש\nעמידה בתנאים נוספים, כגון מדרג המועמד ביחס לבוגרים אחרים שלמדו לאותו תואר, ניסיון מקצועי של\nהמועמד ועוד.\nא. מבנה הלימודים :\nלימודי התואר השני באבטחת המרח')]"
36,מדוע חשוב לשלב קורסים באנגלית בתכנית להנדסת תוכנה?,"[Document(id='debdd0bf-5e54-4672-9030-83b30abfbbe6', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�יה הנדסית בצורה מודרכת ומונחית .\nהחל משנה""ל תשפ""ב קיימת חובה ללמוד שני קורסים לתואר ראשון באנגלית.\n7\n מבנה תוכנית הלימודים לתואר ראשון בהנדסת חשמל ומחשבים\nתוכנית הלימודים בתואר להנדסת חשמל ומחשבים ),B.Sc( מורכבת מקבוצת מקצועות כדלקמן :\n1. מקצועות קדם לימוד')]"
37,"איך מסלול מית""ר מצטייני תואר ראשון בהנדסת תוכנה משולב בתכנית?","[Document(id='ddb3cf80-cb80-49ad-81d4-726a948f1156', metadata={'source': '362-2025.pdf', 'start_index': 61463}, page_content='ורסים המרכיבים את המסלול לבקרה ומכטרוניקה בלימודים\nלקראת תואר ראשון במחלקה להנדסת מכונות באוניברסיטת בן-גוריון בנגב. לכל מועמד תקבע תוכנית השלמה\nבהתאם לרקע הקודם שלו. קורסי ההשלמה אינם מזכים את הסטודנטים בנק""ז לתואר שני.\nב. קורסי חובה\nאשכול 1 – כללי\n'), Document(id='ab9d78db-8104-406e-a1b6-29d8d0c67b8b', metadata={'source': '361-2025.pdf', 'start_index': 125804}, page_content='כנית מית""ר להנדסה )מסלול ישיר לתואר שני (\nמטרת התוכנית היא קידום מהיר של תלמידים מצטיינים עם פוטנציאל גבוה להשתלב במחקרים\nבחזית המדע. התוכנית מיועדת לתלמידי תואר ראשון בהנדסת חשמל ומחשבים בסוף הסמסטר\nהשישי, וכן לתלמידי תואר ראשון בתואר כפול בהנדסת חשמל -מתמט')]"
38,מהו המבנה הכללי של קורסי החובה והבחירה בתוכנית?,[]
39,כיצד מאפשרת התכנית גמישות בקצב ההתקדמות בלימודי הנדסת תוכנה?,"[Document(id='31060e60-b7f4-41a9-90b7-58721d25e650', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='� לתפקידי ניהול פרויקטים וניהול כללי בתעשייה.\nמבנה תכנית הלימודים\nתכנית הלימודים לתואר ראשון (.B.Sc) מקנה לבוגרים את התואר מהנדס. משך הלימודים המקובל לתואר ראשון\nהוא ארבע שנים. הלימודים משלבים הרצאות, תרגולים, מעבדות ופרויקטים. התכנית מספקת בסיס רחב המקנה\nלתלמיד')]"
40,מהו הבסיס הידע העיקרי של התכנית בהנדסת מערכות מידע?,"[Document(id='2146ff26-d12d-4c66-9543-31f77190841b', metadata={'source': '364-2025.pdf', 'start_index': 5772}, page_content=' לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיועדת למועמדים בעלי רקע מתמטי,\nמדעי וטכנולוגי המתאימים ללימודי הנדסה. מבנה התוכנית מושתת על מספר רבדים :\n• קורסי התשתית המדעית מיועדים להקניית הבסיס המדעי הנדרש למהנדסי תעשייה וניהול, בתחומי ידע כגון\nהנדסה,'), Document(id='3c16cd42-0b07-416b-bee5-61a207d8ba48', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�חי הנדסת חשמל והנדסת מחשבים בהתאם לתכנית הלימודים שלו, מבנה נתונים, מערכות\nלינאריות, מעגלים אלקטרוניים, מבוא לעיבוד אותות ועוד. מקצועות אלה מקנים לתלמיד רקע בסיסי במכלול\nהנושאים המרכיבים את התואר. החל מהסמסטר החמישי ללימודים )תחילת השנה השלישית(, בוחר התל'), Document(id='31060e60-b7f4-41a9-90b7-58721d25e650', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='� לתפקידי ניהול פרויקטים וניהול כללי בתעשייה.\nמבנה תכנית הלימודים\nתכנית הלימודים לתואר ראשון (.B.Sc) מקנה לבוגרים את התואר מהנדס. משך הלימודים המקובל לתואר ראשון\nהוא ארבע שנים. הלימודים משלבים הרצאות, תרגולים, מעבדות ופרויקטים. התכנית מספקת בסיס רחב המקנה\nלתלמיד'), Document(id='18379726-53d6-4496-88a3-a65bfe22eec7', metadata={'source': '364-2025.pdf', 'start_index': 5558}, page_content='ישות גבוהות ושילוב תכנים חדשניים המשקפים את התפתחותו המהירה של המקצוע .\n2\n תכניות הלימוד במחלקה\nמידע מפורט נוסף על תכניות הלימודים השונות במחלקה מוצג בהמשך מסמך זה .\nלימודי התואר הראשון\nתוכנית הלימודים הארבע -שנתית לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיוע')]"
41,אילו תחומי התמחות מוצעים במסגרת התכנית להנדסת מערכות מידע?,"[Document(id='2146ff26-d12d-4c66-9543-31f77190841b', metadata={'source': '364-2025.pdf', 'start_index': 5772}, page_content=' לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיועדת למועמדים בעלי רקע מתמטי,\nמדעי וטכנולוגי המתאימים ללימודי הנדסה. מבנה התוכנית מושתת על מספר רבדים :\n• קורסי התשתית המדעית מיועדים להקניית הבסיס המדעי הנדרש למהנדסי תעשייה וניהול, בתחומי ידע כגון\nהנדסה,')]"
42,כיצד התכנית להנדסת מערכות מידע משלבת נושאי אבטחת מידע?,"[Document(id='ffd8dada-4b93-4e02-afaf-5186352f2407', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�לוחמת מידע\nהמגמה נועדה להכשיר סטודנטים להיות אנשי מקצוע בתחום של אבטחת מידע במרחב המקוון הכולל\nקידוד וייצוג מידע, פרטיות, כרית מידע, אבטחת מידע, אבטחת רשתות ואבטחת מערכות ממוחשבות.\nלימודי המגמה עונים על צורך ברור של המשק באנשי מקצוע בתחום של אבטחת'), Document(id='18722b0c-3dbc-4e8b-a2a8-59aa6772b2d7', metadata={'source': '372-2025.pdf', 'start_index': 36665}, page_content='תונים, מערכות לומדות וכריית מידע.\nאוניברסיטת בן-גוריון בנגב ידועה כמובילה בתחום מדעי הנתונים בארץ ובעולם, ומציעה לסטודנטים\nבתכנית תחומי מחקר מרתקים, חלקם בשיתוף עם חברות בינלאומיות .\nלמי מיועדת התכנית : סטודנטים בעלי תואר ראשון בהנדסת מערכות מידע'), Document(id='e6d93436-0a76-4ba3-a489-e216c77f3a7a', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='קי אדם מחשב, מערכות מידע ברפואה, לוחמת מידע\nמנועי חיפוש ומערכות המלצה, בסיסי נתונים, big-data\nניתוח וקבלת החלטות במערכות מידע, מידול מערכות מידע, ויזואליזציה\nפרטיות אלקטרונית\nתנאי קבלה\nזכאים להירשם לתוכנית התואר השני בהנדסת מערכות מידע, בעלי תואר ראשון ממו�'), Document(id='1f73283c-5770-4014-975a-e4924cdf57ff', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='רים לטכנולוגיות מידע מתקדמות כגון: אחזור מידע, כריית\nנתונים, אבטחת מידע, מערכות מידע רפואיות, בסיסי נתונים מבוזרים, בינה מלאכותית, למידת מכונה\nועוד. בוגר הנדסת מערכות מידע עשוי למלא תפקידים מגוונים בתחום, כגון: אפיון צרכי מחשוב של ארגונים,\nניתוח ו�'), Document(id='f0e0ce0b-c577-4010-a189-ea4c46032887', metadata={'source': '364-2025.pdf', 'start_index': -1}, page_content='ח ועיצוב מערכות מידע, בסיסי נתונים, הנדסת שיטות ותהליכים, הנדסת\nגורמי אנוש, סימולציה, אוטומציה, וניהול פרויקטים. קורסי החובה מיועדים לרכישת תשתית הידע המקצועי,\nלהקניית ראייה מערכתית אינטגרטיבית, ולבניית ""ארגז הכלים"" הנדרש למהנדסי תעשייה וניהול.\n• קורסי �'), Document(id='a683299f-2e77-4dbe-a46b-4e8b314e9248', metadata={'source': '372-2025.pdf', 'start_index': 25513}, page_content=' השתתפותם בתכנית.\n22\n 3.5 התכנית להנדסת תוכנה\nמטרת התוכנית להנדסת תוכנה הינה להכשיר אנשי תוכנה בעלי השכלה רחבה בתחומים החשובים בתעשיית\nהתוכנה, החל משיטות לאפיון, מידול, ובנייה של מערכות תוכנה גדולות, וכלה בתחומי ידע כגון אבטחת מידע,\nתקשורת מחשבים, בס')]"
43,מדוע מושם דגש על ניתוח מערכות ובסיסי נתונים בלימודי הנדסת מערכות מידע?,"[Document(id='38701024-7984-45f4-acd6-729c127463dc', metadata={'source': '372-2025.pdf', 'start_index': 17308}, page_content='אות( הם אחד מנכסיו העיקריים של הארגון וניתוח מושכל שלהם\nמעניק יתרון משמעותי לבעליו .\nלימודי התואר הראשון בהנדסת נתונים במסגרת המחלקה להנדסת מערכות תוכנה ומידע מיועדים להכשיר\nמהנדסים איכותיים שיכולים להשתלב בתחומים של ניתוח נתונים (Data Analytics), הנדסת נתונים (Data\nEngineering)'), Document(id='33d77d21-c58c-4a33-a7aa-c9f93fa6c8d4', metadata={'source': '372-2025.pdf', 'start_index': 1910}, page_content='גוון תפקידים במערכות מידע ממוחשבות בסביבה הטכנולוגית המודרנית. הלימודים\nבתחום המקצועי של הנדסת מערכות מידע כוללים נושאים יסודיים בתחומים שונים כגון: תכנות, ניתוח\nועיצוב מערכות ובסיסי נתונים וכן קורסים הקשורים לטכנולוגיות מידע מתקדמות כגון: אחזו'), Document(id='11e98f7e-2f06-418c-9938-e186d2d3a6b4', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='"" ניתן למצוא בקישור זה.\n23\n 4. תכנית לימודים לתואר שני בהנדסת מערכות מידע\n(M.Sc).\nתכנית הלימודים לתואר מגיסטר (M.Sc) בהנדסת מערכות מידע מיועדת להכשיר חוקרים ואנשי מקצוע\nאיכותיים לעסוק במחקר, תכנון, פיתוח וניהול של מערכות מידע וטכנולוגיות מידע ונתונים מת�'), Document(id='23e694c4-8b4c-435f-b4f3-f1976658c074', metadata={'source': '372-2025.pdf', 'start_index': 2322}, page_content='ון: אפיון צרכי מחשוב של ארגונים,\nניתוח ועיצוב של התכנה, מנשקי המשתמשים ובסיס הנתונים, תכנות, הטמעה, אבטחה, ניתוח נתונים, וכן\nתפעול וניהול של יחידות מחשב ומערכות מידע .\nתכנית הלימודים בהנדסת נתונים מספקת לתלמידים עקרונות וטכניקות המהוות בסיס ידע עיק'), Document(id='e6d93436-0a76-4ba3-a489-e216c77f3a7a', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='קי אדם מחשב, מערכות מידע ברפואה, לוחמת מידע\nמנועי חיפוש ומערכות המלצה, בסיסי נתונים, big-data\nניתוח וקבלת החלטות במערכות מידע, מידול מערכות מידע, ויזואליזציה\nפרטיות אלקטרונית\nתנאי קבלה\nזכאים להירשם לתוכנית התואר השני בהנדסת מערכות מידע, בעלי תואר ראשון ממו�')]"
44,מהו היקף נקודות הזכות הנדרש לסיום התואר בהנדסת מערכות מידע?,"[Document(id='2146ff26-d12d-4c66-9543-31f77190841b', metadata={'source': '364-2025.pdf', 'start_index': 5772}, page_content=' לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיועדת למועמדים בעלי רקע מתמטי,\nמדעי וטכנולוגי המתאימים ללימודי הנדסה. מבנה התוכנית מושתת על מספר רבדים :\n• קורסי התשתית המדעית מיועדים להקניית הבסיס המדעי הנדרש למהנדסי תעשייה וניהול, בתחומי ידע כגון\nהנדסה,'), Document(id='6508438f-d4fa-4319-bc0f-79ba3115ce72', metadata={'source': '383-2025.pdf', 'start_index': 4664}, page_content=' ייחשפו לסטודנטים ויציגו סוגיות, נושאים\nהקשורים ליישומים, שיטות ותהליכים בהנדסת המערכות.\nהדרישות מבחינת היקף נקודות הזכות שיש לצבור במסלול זה תואמות לדרישות המקובלות בפקולטה למדעי\nההנדסה, כדלהלן:\n3\n א. מסלול כללי )מסלול עם פרויקט גמר, ללא תזה(\nלימוד בהיקף 41 נק')]"
45,כיצד התכנית מטפלת בנושאים של כריית נתונים ובינה מלאכותית?,"[Document(id='88cd6187-00d8-4854-bdb5-6e73ce4d1dc9', metadata={'source': '372-2025.pdf', 'start_index': 2941}, page_content='.\nבוגר הנדסת נתונים יוכל לפתח ולהפעיל בצורה מיטבית מערכות ניתוח נתונים ולרתום את טכנולוגית מדעי\nהנתונים כדי להפיק את המרב מהנתונים הרבים שנאגרים במערכות מידע ארגוניות וציבוריות. לימודי\nהתואר עונים על הצורך העולה באנשי מקצוע בתחומים של Big Data ,הנדסת הנתונים'), Document(id='18722b0c-3dbc-4e8b-a2a8-59aa6772b2d7', metadata={'source': '372-2025.pdf', 'start_index': 36665}, page_content='תונים, מערכות לומדות וכריית מידע.\nאוניברסיטת בן-גוריון בנגב ידועה כמובילה בתחום מדעי הנתונים בארץ ובעולם, ומציעה לסטודנטים\nבתכנית תחומי מחקר מרתקים, חלקם בשיתוף עם חברות בינלאומיות .\nלמי מיועדת התכנית : סטודנטים בעלי תואר ראשון בהנדסת מערכות מידע'), Document(id='bb6cea00-f388-43d3-91b2-bbeb841c2df9', metadata={'source': '372-2025.pdf', 'start_index': 37285}, page_content='שני. העבודה תעבור הליך שיפוט על פי נוהלי\nהפקולטה למדעי ההנדסה. עבודת התזה תהיה בתחום של למידה חישובית וניתוח נתוני עתק.\nתחומי מחקר במחלקה:\nמדעי הנתונים, למידה חישובית, בינה מלאכותית, כריית מידע בזמן אמת, Big Data , חיזוי סדרות\nעתידיות, כריית טקסט, למידה עמוקה, זיהוי א'), Document(id='f16e7c53-3b96-4c56-83a3-609a3c9a4425', metadata={'source': '372-2025.pdf', 'start_index': 4418}, page_content='ה\nואינטגרטיבית. המחלקה מעודדת את הסטודנטים להמשיך את לימודיהם לתארים מתקדמים.\nבמסגרת תכנית הלימודים לתואר ראשון, המחלקה מאפשרת לסטודנטים הרוצים בכך להתמחות במגמות לימוד\nייחודיות: בינה מלאכותית, בינה עסקית וכריית נתונים ואבטחת מידע ולוחמת מידע. במסגרת'), Document(id='782e26f7-dd77-441b-908c-09f0aebd4912', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�דמיה ממוחשבת, סוכנים באינטרנט, מסחר ממוחשב, תכנות\nלימוד, רפואה ממוחשבת ועוד .\nהמחלקה להנדסת מערכות תוכנה ומידע כוללת את המספר הרב ביותר של חוקרי בינה מלאכותית\nבהשוואה למחלקות אחרות בארץ. היא ידועה בארץ ובעולם כמובילה במספר תחומים בבינה מלאכותית.\nהלימודים �'), Document(id='a83489a3-0caf-475d-b7d6-eb63af0a1c04', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�וע המוטיבציה של הסטודנטים להבין את המושגים התיאורטיים המופשטים\nמתחזקת מאד כאשר הם נחשפים ליישומים בתחום. המגמה נערכה בצורה כזו שתביא לאיזון בין שלושת\nההיבטים הבאים: שיטות חישוביות, טכנולוגיות מידע, והיבטי ניהול .\nבמסגרת פרויקט הגמר, הסטודנטים יתמודדו עם ב'), Document(id='33a37594-e24c-4f10-b9ef-538ea8626a2b', metadata={'source': '364-2025.pdf', 'start_index': -1}, page_content='�ומי\nהייצור והשירותים, תוך שימוש בכלים, גישות ומתודולוגיות כמותיות מתקדמות לניתוח, פיתוח, עיצוב ובקרה של\nמערכות .\n• מגמת סטטיסטיקה שימושית מכשירה חוקרים לשלב ידע מתחומי הנדסת תעשייה עם כלים מתקדמים\nבסטטיסטיקה )כולל למידת מכונה וכריית נתונים( כדי לתכנן ניסויים ו')]"
46,כיצד בנוי הפרויקט המסכם בשנה הרביעית להנדסת מערכות מידע?,"[Document(id='83a9df96-b7dd-44fb-8597-a4b80fbbd648', metadata={'source': '372-2025.pdf', 'start_index': 41408}, page_content='כותית )למשל בתחום הרובוטיקה(. הסטודנטים יהיו רשאים לקחת קורסים אלו\nבכפוף לאישור ועדת ההוראה של המחלקה.\n32\n ד. עבודת התזה בתחום הבינה המלאכותית\nכל תלמיד לתואר השני בהנדסת מערכות מידע, ובכלל זה בלימודי המגמה לבינה מלאכותית ומערכות\nתוכנה אוטונומיות, חייב לבצע ת'), Document(id='a9d9fb6b-c999-4db1-bd94-cd71dc72b93e', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='נות אוטומטיות.\nמסלול הבקרה, מכטרוניקה ורובוטיקה מכשיר מהנדסי מכונות עם התמחות בתחום הבקרה. התלמידים\nלומדים את עקרונות התכנון של מערכות בקרה, משלב התכנון ועד שלב המימוש על ידי מערכות מיקרו-\nמחשב. המסלול שם דגש על מערכות רובוטיות. במסגרת זו התלמידים לומדי�'), Document(id='6f092779-f0da-4cb8-aee9-127b0b650908', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�רנית תוך שימוש באלמנטים סופיים ובמחשב. ממהנדס.ת המבנים נדרשת\nיכולת המאפשרת לו.ה לבצע סינתזה של כל הידע שרכש.ה כדי לתכנן בפועל מבנים שונים .\nתחום ניהול הבנייה מבוסס על אינטראקציה של מערכות שירות שונות, הדורשת ידע בסיסי בהנדסת מבנים\nוידע בניהול הבנייה. ה�')]"
47,מדוע עודדת המחלקה לסטודנטים להמשיך ללימודים לתארים מתקדמים?,"[Document(id='69eaf2f3-9554-4fd7-8d20-454aa7eb0aeb', metadata={'source': '364-2025.pdf', 'start_index': -1}, page_content='לז ה יחל בלימודי תואר שני כבר בשנה הרביעית ללימוד יו, יזכה למלגות, יבצע לבדו\nפרויקט גמר מחקרי שיורחב לתזה, ולרוב יוכל גם להשתלב בסגל הזוטר כעוזר הוראה .\n• מסלול קש""ת )קיצור ושילוב תארים(: המחלקה מעודדת תלמידים בעלי נתונים מתאימים להמשיך ללימודי תואר\nשני גם שלא במ�')]"
